Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
chars\skins\hero_winter.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\hero_winter_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\inthero_action.dtx;0;DTX_VERSION_LT2;128;128;1;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\inthero_action_head.dtx;0;DTX_VERSION_LT2;128;128;1;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\maid_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\maid_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_action_police.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_casual.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_casual_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_casual_style2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_lowrank.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_lowrank_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\malebystander_style4.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
